vgain,channel,led,bias,mean_0,e_mean_0,std_0,e_std_0,gain,e_gain,snr,e_snr,delta_std,e_delta_std,spe_amplitude,e_spe_amplitude,dynamic range
500,14,1200,874,39.546786989645916,16.24688106483474,311.748345504195,19.592414118116977,1924.6712039297076,25.466858485689016,6.173797653414678,0.3965103020871701,22749145.558726955,4501138.108539642,152.86778076264608,0.9663121354293388,107.17758783611193
600,14,1200,874,35.94447753043485,11.868602606717083,314.2615176454118,14.069025285634694,1628.044757947598,17.93295906607974,5.180541257948601,0.238842160329688,12663206.230677456,3160201.3709993307,130.8471989893399,1.032220999817607,125.21475527599794
700,14,1200,874,19.66744064655367,10.977481479034621,264.32097545494753,12.175456332269263,1413.0989541470883,16.580772095864376,5.346147621144602,0.2541243673664147,10197576.364055276,2370233.437228002,114.52388325199615,0.8547820133994877,143.061862161528
800,14,1200,874,23.624861493015104,9.430852328561247,230.20836065836028,14.372261062975198,1255.0254830683034,14.291013603606231,5.451693758989138,0.3459726164103142,7904053.580899024,2185951.077663521,102.6378996721492,0.5275644879732662,159.62914335089224
900,14,1200,874,36.546888276218404,7.938035482114576,197.6166822917412,8.533364677252308,1063.3169519475377,12.1864299946209,5.380704400136445,0.24039060279051394,6482454.305497315,1280680.9116387614,87.66077587831559,0.9094880842786662,186.9022927967589
1000,14,1200,874,17.093015772950825,6.914516895907636,173.46754134295267,8.066251865458597,908.7512773645004,10.476445698503037,5.238739595483518,0.2509766332680398,4352300.683382828,1022207.6174761031,76.039814196515,0.6478679879705312,215.46607094091112
1100,14,1200,874,34.208249153199645,5.160644502877233,134.08301543936423,6.586860880736197,775.4516447837282,7.969607776983122,5.783369670220515,0.2902602928796821,3568193.763079321,631856.8538388282,64.32945812450458,0.44714008550368856,254.68891667469143
1200,14,1200,874,16.63317495191997,5.3968845332725195,126.741576844007,5.5274173167482274,696.9612343020079,8.349599652271127,5.499073403196055,0.24870784216144506,2987502.979283296,545998.0851712137,57.016989694890434,0.5044399177169064,287.3529466861392
1300,14,1200,874,12.55460582724388,4.343949005449093,113.09343517238325,4.657114132294971,605.7664193970721,6.56518770446031,5.356335833938809,0.22808163598659098,1844924.5693027186,394667.6944040799,49.47169819967858,0.45649084222168124,331.1792519001591
1400,14,1200,874,12.30257884476509,4.5166374104943605,106.0366805249969,4.149215644330162,499.2126247985227,6.829236166549049,4.707923921485256,0.19515465984783686,1066367.3629442104,347159.4398272815,40.98745006645593,0.32418838822265944,399.7321124743167
1500,14,1200,874,13.702020622641498,3.7454769646455897,94.1062567349272,3.6136158966046352,433.04215004985014,5.604938111847618,4.6016297435952325,0.1864672766476068,841319.8603868745,264004.4119501553,35.99124913110351,0.3345301772422938,455.2217662776535
1600,14,1200,874,12.542555390259785,3.336857466497602,80.25704469684221,3.5731714599735938,374.890875820707,5.138417617056553,4.671127341366675,0.21759826892580583,808441.8962125112,218211.00084358736,31.47429079064009,0.3319936994856547,520.5518405158892
1700,14,1200,874,12.099749142891362,2.881049763835852,73.18835353357547,2.911275716746907,330.1608645866284,4.366699248835001,4.511112064232538,0.18910139255693414,550270.2803580805,163676.96764573743,27.81641925555682,0.4668600724325811,589.0046396509863
1800,14,1200,874,10.272658888076643,4.370471359330269,64.91958018331674,3.8896611418398095,275.84374834523857,6.500638110953341,4.249006964714258,0.27356444292976523,321368.8759929482,204262.40025230395,23.4853064374708,0.5051869089050458,697.6276866398189
1900,14,1200,874,12.130696895539181,3.3088101088940944,52.063761064496404,3.285765779294053,234.20248429257796,5.150926660584845,4.4983781329675505,0.30063970468864765,403889.8854156812,138435.74994621408,19.961579036234177,0.39003281045824534,820.7767516918291
2000,14,1200,874,10.120599116675262,0.10801613680837485,55.23461547502646,0.1077560465142895,200.47767547314544,0.18691189956736334,3.6295658754751097,0.007847901066541265,197411.8377432815,4577.460227766069,17.553248071819137,0.31974741551557223,933.388506387242
2100,14,1200,874,1.03229240023234,3.158694941671508,47.25500196457589,3.300284784664818,182.00893160668792,4.8608342297618305,3.8516331401938912,0.2879943396318456,226292.04844638822,120651.6663486637,16.855093206939365,0.2167836510817301,972.0503944323837
2200,14,1200,874,0.1762349113418128,3.612886396645617,47.49608223260827,2.976565702886333,159.80109246707937,5.333781704029488,3.364511028182625,0.23889352104338948,206705.58279842848,126122.63841904966,14.434736876142924,0.3813934112492541,1135.0397406328016
