vgain,channel,led,bias,mean_0,e_mean_0,std_0,e_std_0,gain,e_gain,snr,e_snr,delta_std,e_delta_std,spe_amplitude,e_spe_amplitude,dynamic range
700,12,1100,784,6.3565627673049505,0.01689817032135807,153.03445840018875,0.01689793064075218,615.9417315497474,0.029268495346727787,4.0248564799637805,0.00048382675966716476,5920113.219711746,2288.4713420739813,33.72713424643753,0,485.7809703097019
800,12,1100,784,0.7256596290736157,5.004970492082268,151.8586227128553,3.6897851168193085,561.5348014266863,8.099139752215173,3.697747229595746,0.10448330413106435,2162041.1109877247,589580.7856398161,29.22050876430617,0,560.7020785351145
900,12,1100,784,6.84727911678266,5.343753320932148,133.73053463301397,3.892367101964311,474.484624430148,8.589386125065575,3.548064963115853,0.1216145305559664,1096410.2096474348,500455.9021906792,26.402430921246424,0,620.5489202441414
1000,12,1100,784,-0.2333057092248649,4.276687736825158,113.80080106529577,3.0267091537518596,411.96885881451135,6.935365896533604,3.6200875121971676,0.11394844634026897,1585283.371948395,432145.59432507853,21.71544306728015,0,754.4861023207337
1100,12,1100,784,11.115882372098229,4.3736129207703085,95.60622719968556,3.1367838082384694,345.59689605091546,7.10653941623196,3.614794832653454,0.1399676336753147,836980.6287516654,318909.6499131484,18.182564106620845,0,901.0830322899326
1200,12,1100,784,6.108021628071495,3.398342525378603,85.26866495090468,2.3575504715343385,308.3053906061371,5.574554507925846,3.6156938868885864,0.11944776881741714,707456.8139084564,215046.39523395998,16.394376384375388,0,999.367076604068
1300,12,1100,784,12.651074116590344,3.686480047598172,82.10514143060459,2.2870016786372105,261.0628257750847,5.789919276805633,3.1796160535906934,0.1132117966481307,313332.9651621601,199956.48808356677,14.718394658591762,0,1113.164878374555
1400,12,1100,784,9.519156118524807,2.852412329774326,72.76123925811343,1.8606131565533843,226.53390157066224,4.388999421634764,3.113387070924606,0.09988468661384126,227413.8204104551,140319.12650766806,12.188348588940487,0,1344.234609015579
1500,12,1100,784,6.806569682700925,3.123402370002912,62.23742813993166,1.8497381567654578,187.4537379132566,4.844774158268647,3.0119133054758396,0.11862852704408393,177640.10178388353,130000.94190030538,10.192911278779093,0,1607.3916030359558
1600,12,1100,784,5.985254329401271,2.6278989127780434,54.9146026605361,1.7233763801511373,162.69673575862822,4.264597252574197,2.9627226252435186,0.12114415658457776,166719.75785632653,100781.66662693523,8.754292974642038,0,1871.5389178153407
1700,12,1100,784,0.4137074058316039,2.613064476419015,48.273609319859474,1.7477651046444755,143.47167532810255,4.044818806980456,2.9720519627497413,0.13637946864727607,141109.0399078793,89143.04223792572,7.605250943252985,0,2154.301037829015
1800,12,1100,784,3.144900100765476,3.4098609507913036,44.762046764566534,1.9185950855417353,116.12555998942288,5.470366558283477,2.5942861951823755,0.16522692687839768,79298.40498113481,100424.25882790252,6.443168034777044,0,2542.848473230443
1900,12,1100,784,7.103004077100887,0.0,42.96242769024273,0.0,97.66791441241239,0.0,2.2733332277354967,0.0,0.034494355553761125,0.0,5.435183678808442,0,3014.433544146915
2000,12,1100,784,-6.322358734913327,4.82631579617587,36.259608862792035,2.5183046056199174,76.76751008777843,7.0833155487641655,2.117163215363687,0.24450519777268204,15278.504811610794,105652.56041370424,4.238773992513818,0,3865.268596281874
2100,12,1100,784,4.321697581572815,4.788758248158048,38.955142375730894,2.2650249841908057,89.64299350717307,7.392412827022429,2.301185107797752,0.2321946912398379,54629.05516270315,122179.07436495941,4.893273135331204,0,3348.270073399661
